"","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]","(0.75,1]","(0.5,0.75]","(0.25,0.5]","(0,0.25]"
"Tragelaphus_kyaloi",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_lockwoodi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_nakuae",0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
"Tragelaphus_oryx",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tragelaphus_pricei",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_rastafari",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_saraitu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_scriptus",1,0,0,0,0,1,0,0,1,1,1,0,1,0,1
"Tragelaphus_strepsiceros",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"Ugandax_coryndonae",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
